user_id,spread,influence,influence_normalised
-825441636418268372,1685,5.59075130984933,1
-1390622089254632561,1644,5.18115280943286,0.910342360087683
6990229964894807507,1736,5.17261319602904,0.908473111096848
3253362447566298172,3166,5.06141754630216,0.884133325885496
6039368744270470228,1039,4.88683171561756,0.84591796736881
-6403413288459201329,1232,4.81645507083117,0.830513116349873
-8106261064894665679,1051,4.80729043437031,0.82850705510966
3441908721451266504,1075,4.60446085772959,0.78410938000213
8790791253469833963,1111,4.45788681800318,0.752025565093331
6163352879504996348,3721,4.36159306482351,0.730947678725068
-7575843981528555980,1174,4.23017594974721,0.702181586149422
7245093531549968209,1315,4.21577094878005,0.699028453537029
7827187377386038970,1181,4.20707794176563,0.697125627985026
-2310780231493541297,1879,4.16648029947558,0.688239148200483
-7344415521014398395,1154,4.14976297121405,0.684579866743046
-8303966705600785093,3185,4.10584099394939,0.674965718210206
7236403221818856636,1609,4.07697467797137,0.668647126318584
-616946398183006438,1781,4.01056789307905,0.65411124398123
-191149925492337013,1181,3.95883406231244,0.642787146931456
318108740306960561,1267,3.91467137802044,0.633120309670609
-3690162326925489127,1180,3.91141365832919,0.632407222443199
-7193743046944593099,1853,3.86684176396093,0.622650812565192
3421706899199068037,1018,3.86625960361843,0.622523382600713
-4194300062544896453,1262,3.84974680162385,0.618908870209511
2922855096820065805,2600,3.84555560002362,0.617991451704581
-6835613099304696306,3796,3.83991715000457,0.616757242787905
5975429270402391990,1164,3.83305860704442,0.615255965868143
4334720084126088682,1540,3.79199641855238,0.606267800857558
8808751182165636574,1019,3.78006139345373,0.603655325026832
4177860074832816582,2615,3.75520473302853,0.598214412749177
-6192796384197432985,1646,3.75258438822752,0.59764084148274
6385029130020035019,1908,3.74172467832822,0.595263743034591
-761075543216586988,1037,3.73145338282737,0.593015443510759
-3413196039477655920,1683,3.71313877315485,0.589006530691294
-5885910012861996666,3154,3.67931681092953,0.581603189841066
-2863861095139756719,1129,3.67083635795375,0.579746890566477
-8219051055060380710,2423,3.67062613536686,0.579700874624089
-5028201393688614172,1943,3.62650857055734,0.570043913635515
-4516600897966949747,1641,3.61888343395596,0.568374835865472
700137962122947382,2367,3.59723968452377,0.563637202570987
-2629513459116870716,2871,3.58561018413297,0.56109160350913
-6157272037610070645,1602,3.58067005375835,0.560010250843538
5020504967951134098,1358,3.57926626326259,0.559702973002792
-725973890681343989,1417,3.57416590065012,0.55858654685849
-987186791200994245,1575,3.56999705968302,0.55767402290662
-2515549301240051811,1098,3.55626107140273,0.554667331500715
-1683692525726258574,1253,3.54370973121596,0.551919949521196
8809655850143772160,1366,3.54021037741723,0.55115397063579
