,user_id,X,pr_value
1,-7363671306683517952,1322,9.50229284243259e-06
2,-3526417518385910784,1424,9.20246975537455e-06
3,-2080014958835906816,1466,9.08361290796759e-06
4, 5953467248454651904,1503,8.99995978423618e-06
5,  323925564097160704,1529,8.8977474020592e-06
6, -602962029054829184,1533,8.88737567816165e-06
7,-3730759456033049088,1552,8.83925677463876e-06
8,  694784141225916544,1558,8.81264853206301e-06
9, 4598591111320208384,1593,8.71781676656973e-06
10,-1442812739848673792,1597,8.70731968588564e-06
11, 6996575722049541120,1602,8.6855191795124e-06
12, -932985541807144832,1606,8.67831380072517e-06
13,-1904364629412395008,1626,8.62827500098958e-06
14,-8507540924424446976,1628,8.62413099114733e-06
15,-2946450206305650688,1629,8.62277952521464e-06
16,-5497707299911159808,1641,8.60901345942932e-06
17, 3169628097779606016,1645,8.59096515981026e-06
18,  537054778078926016,1649,8.58191099085197e-06
19,-3900297750414116352,1651,8.57189472658702e-06
20, 1692530559678963200,1653,8.5668063587557e-06
21,-8858506951781076992,1657,8.565844287868e-06
22,  797009292551893504,1662,8.55386803723619e-06
23,-6081602956188296192,1678,8.5213593996733e-06
24, 3963854913267225088,1681,8.50643758463132e-06
25, 7759887048919706624,1694,8.47402775459008e-06
26,-8937518828732367872,1695,8.47228466719152e-06
27,-6382023543087741952,1699,8.46556177583998e-06
28,-7456881601745093632,1703,8.4528261398469e-06
29,-8449540503055118336,1704,8.44962721651526e-06
30,-3057358576205894144,1710,8.4390340551495e-06
31, 1707333603525039872,1712,8.42903295580992e-06
32, 5149036341331059712,1714,8.42381730978347e-06
33, 1981969588838475264,1723,8.40257311142314e-06
34,  134242281946300112,1728,8.38827263287949e-06
35, -791753735262816512,1731,8.37991145578408e-06
36,-6372224092726438912,1737,8.36816546552822e-06
37, 5782094977181624320,1742,8.35897943302812e-06
38, -312958269301297984,1744,8.34977942225298e-06
39,-1475967595733557504,1762,8.31616791100212e-06
40,-6899206688076366848,1763,8.31209337053633e-06
41, 5797585073313371136,1775,8.29324907619437e-06
42,   34128713220161176,1779,8.28380221050656e-06
43,-8982438579891226624,1782,8.27728553069709e-06
44, -748230090344782336,1784,8.27435351670581e-06
45, 9121739308385009664,1788,8.27084522694193e-06
46,-5375717483311941632,1805,8.23549521393085e-06
47,-2786071231503046144,1815,8.20986336353174e-06
48, 8238228055723398144,1824,8.19675974905663e-06
49,-7434346810681728000,1826,8.19634139441032e-06
50, 5007023993229797376,1828,8.19351070142573e-06
51,-5751702219781433344,1846,8.16070697710222e-06
52,-3930977241261248512,1859,8.13466111747765e-06
53, 4597789842945544192,1861,8.13272489002313e-06
54,-2532151937648948736,1864,8.12753625239175e-06
55, 4000775969195818496,1866,8.12670359370501e-06
56,-6981429683278016512,1867,8.12016424915702e-06
57, -259065906897323104,1873,8.11381284786685e-06
58,-1321304662954992128,1876,8.10292048527572e-06
59,-6926111877327497216,1880,8.09125335212372e-06
60, 3757919711514402304,1884,8.08855970262442e-06
61,-3951713629304819712,1889,8.07473264296331e-06
62,  323943493652137216,1890,8.07464673653288e-06
63, 3815225843361757696,1902,8.05042938925388e-06
64,-8260192318091651072,1903,8.04995492919085e-06
65,-6229943762614800384,1907,8.04120858305943e-06
66, 5911268364539222016,1911,8.02775903808865e-06
67,-9089871614662198272,1912,8.02592498320507e-06
68, 3981358951471318016,1918,8.01757559137288e-06
69,  506404294499245888,1920,8.01649585297245e-06
70, 2831188720146264576,1922,8.01556783185737e-06
71, 2229347112685359104,1928,8.00923535832792e-06
72, 1776772768547399936,1929,8.00918444332984e-06
73,-6718863106113286144,1932,8.0070259335454e-06
74,-7225715733935753216,1934,8.00327170266794e-06
75,-2413227141156018176,1936,8.00037732916404e-06
76,-2235863632288737536,1937,7.99744804765185e-06
77, -778573175370350080,1940,7.99200785986537e-06
78,-4053171896838599680,1944,7.98476026747771e-06
79,  111988466593855840,1948,7.97949832461212e-06
80,  570160735026614208,1953,7.97497938768639e-06
81, 1828066061381295104,1955,7.96450497763226e-06
82,-5220456803535318016,1956,7.96417226399604e-06
83,  468950152545130688,1960,7.96159166040198e-06
84,-6818482290848510976,1962,7.96015846336051e-06
85,-5505484001352814592,1966,7.94595087828069e-06
86, 2451920163194510336,1968,7.94173684304447e-06
87, 4511273112033300992,1969,7.93776353473485e-06
88, 6640762877657457664,1974,7.92108775140494e-06
